iter	Passed	Remaining
0	140	420168
1	257	386125
2	378	378083
3	495	370704
4	627	375832
5	750	374616
6	880	376559
7	1014	379398
8	1142	379535
9	1267	378764
10	1392	378308
11	1522	378909
12	1648	378623
13	1768	377023
14	1898	377624
15	2018	376311
16	2137	375028
17	2259	374128
18	2391	375044
19	2520	375393
20	2644	375049
21	2779	376051
22	2905	375970
23	3039	376804
24	3164	376504
25	3296	376949
26	3426	377125
27	3554	377201
28	3678	376704
29	3809	377001
30	3938	377104
31	4072	377590
32	4187	376347
33	4310	375858
34	4434	375530
35	4565	375759
36	4670	373927
37	4806	374554
38	4919	373409
39	5050	373595
40	5183	373993
41	5304	373455
42	5431	373409
43	5563	373635
44	5682	372994
45	5808	372865
46	5923	372058
47	6051	372045
48	6169	371441
49	6285	370692
50	6415	370845
51	6539	370614
52	6662	370310
53	6786	370107
54	6912	370027
55	7036	369796
56	7162	369671
57	7284	369354
58	7405	369009
59	7533	368998
60	7658	368880
61	7777	368406
62	7884	367446
63	8008	367286
64	8124	366746
65	8240	366187
66	8358	365783
67	8480	365526
68	8596	365035
69	8719	364853
70	8847	364854
71	8965	364457
72	9090	364360
73	9214	364203
74	9335	363966
75	9448	363402
76	9564	362937
77	9688	362827
78	9812	362707
79	9929	362294
80	10055	362263
81	10176	361993
82	10285	361361
83	10405	361095
84	10534	361145
85	10656	360946
86	10776	360699
87	10892	360326
88	11012	360057
89	11130	359755
90	11248	359470
91	11363	359074
92	11472	358497
93	11599	358461
94	11726	358454
95	11834	357855
96	11959	357790
97	12080	357621
98	12203	357482
99	12324	357294
100	12455	357398
101	12571	357044
102	12698	357037
103	12819	356849
104	12947	356848
105	13065	356587
106	13203	356864
107	13319	356530
108	13432	356142
109	13546	355783
110	13661	355453
111	13786	355371
112	13907	355183
113	14024	354920
114	14147	354791
115	14262	354475
116	14389	354438
117	14497	353963
118	14622	353882
119	14747	353825
120	14872	353734
121	14987	353422
122	15100	353074
123	15229	353112
124	15360	353177
125	15483	353058
126	15608	352963
127	15734	352922
128	15845	352534
129	15959	352224
130	16078	351999
131	16194	351750
132	16318	351638
133	16434	351375
134	16554	351190
135	16688	351313
136	16799	350946
137	16911	350615
138	17031	350439
139	17157	350389
140	17277	350212
141	17399	350082
142	17514	349810
143	17631	349567
144	17756	349489
145	17875	349306
146	17999	349214
147	18124	349142
148	18253	349137
149	18377	349045
150	18490	348745
151	18612	348615
152	18737	348536
153	18846	348164
154	18972	348106
155	19098	348063
156	19224	347996
157	19354	348013
158	19482	347986
159	19598	347757
160	19712	347472
161	19833	347337
162	19949	347099
163	20074	347020
164	20190	346785
165	20311	346648
166	20432	346503
167	20551	346310
168	20676	346233
169	20789	345968
170	20914	345891
171	21036	345755
172	21158	345636
173	21276	345435
174	21404	345400
175	21520	345183
176	21640	345020
177	21761	344880
178	21888	344842
179	22000	344552
180	22118	344361
181	22239	344220
182	22357	344041
183	22487	344035
184	22598	343747
185	22648	342524
186	22773	342460
187	22899	342391
188	23010	342107
189	23130	341965
190	23249	341798
191	23371	341682
192	23487	341486
193	23603	341273
194	23721	341098
195	23851	341096
196	23976	341025
197	24101	340953
198	24222	340819
199	24347	340746
200	24474	340690
201	24588	340470
202	24718	340461
203	24835	340273
204	24961	340202
205	25079	340029
206	25199	339886
207	25321	339766
208	25439	339599
209	25568	339577
210	25690	339457
211	25805	339246
212	25923	339073
213	26041	338908
214	26151	338632
215	26272	338501
216	26393	338377
217	26521	338333
218	26644	338232
219	26762	338056
220	26886	337963
221	27004	337797
222	27126	337684
223	27250	337587
224	27378	337545
225	27500	337428
226	27619	337275
227	27737	337110
228	27863	337037
229	27980	336859
230	28099	336708
231	28214	336510
232	28334	336362
233	28437	336024
234	28555	335858
235	28684	335831
236	28802	335661
237	28919	335495
238	29029	335239
239	29156	335176
240	29283	335120
241	29398	334922
242	29516	334766
243	29633	334588
244	29749	334414
245	29863	334204
246	29984	334077
247	30101	333911
248	30228	333852
249	30342	333650
250	30457	333456
251	30574	333283
252	30694	333147
253	30813	333002
254	30931	332847
255	31041	332609
256	31160	332460
257	31272	332238
258	31391	332095
259	31512	331972
260	31637	331885
261	31758	331764
262	31869	331540
263	31998	331498
264	32120	331384
265	32236	331214
266	32364	331162
267	32487	331054
268	32605	330907
269	32735	330866
270	32853	330715
271	32978	330628
272	33095	330469
273	33223	330420
274	33347	330319
275	33475	330268
276	33606	330243
277	33723	330078
278	33835	329865
279	33956	329745
280	34080	329648
281	34195	329463
282	34328	329459
283	34444	329280
284	34552	329036
285	34668	328864
286	34805	328897
287	34920	328714
288	35044	328614
289	35177	328602
290	35297	328476
291	35410	328277
292	35534	328175
293	35667	328161
294	35783	327995
295	35907	327897
296	36031	327802
297	36153	327683
298	36269	327520
299	36395	327435
300	36509	327248
301	36633	327157
302	36770	327169
303	36887	327012
304	37014	326942
305	37148	326930
306	37269	326805
307	37387	326653
308	37509	326541
309	37624	326365
310	37744	326228
