iter	Passed	Remaining
0	41	150701
1	84	153348
2	113	138384
3	150	137066
4	193	141285
5	242	147276
6	287	149497
7	327	149308
8	368	149001
9	414	151080
10	461	152836
11	502	152450
12	548	153572
13	586	152387
14	631	152958
15	680	154626
16	722	154421
17	768	155193
18	813	155436
19	857	155707
20	898	155330
21	941	155299
22	988	155911
23	1033	156120
24	1075	155933
25	1124	156799
26	1170	157087
27	1214	157176
28	1266	158223
29	1313	158500
30	1359	158732
31	1401	158493
32	1453	159320
33	1497	159317
34	1543	159491
35	1596	160338
36	1647	160943
37	1701	161754
38	1746	161780
39	1778	160572
40	1814	159803
41	1867	160477
42	1910	160312
43	1961	160806
44	2003	160552
45	2052	160824
46	2096	160786
47	2146	161099
48	2190	160993
49	2226	160333
50	2276	160681
51	2314	160192
52	2361	160287
53	2403	160121
54	2453	160392
55	2499	160464
56	2543	160383
57	2591	160524
58	2638	160613
59	2687	160823
60	2731	160740
61	2776	160748
62	2820	160654
63	2868	160785
64	2914	160779
65	2967	161177
66	3005	160753
67	3055	160979
68	3097	160803
69	3143	160788
70	3197	161209
71	3242	161161
72	3288	161197
73	3327	160859
74	3376	161001
75	3424	161104
76	3477	161431
77	3523	161410
78	3554	160700
79	3603	160845
80	3652	160960
81	3698	160978
82	3747	161090
83	3794	161138
84	3843	161243
85	3892	161355
86	3946	161663
87	3990	161573
88	4036	161563
89	4084	161627
90	4128	161498
91	4174	161481
92	4216	161310
93	4262	161296
94	4302	161060
95	4341	160769
96	4384	160649
97	4430	160629
98	4477	160631
99	4515	160341
100	4566	160493
101	4607	160299
102	4657	160419
103	4705	160500
104	4755	160606
105	4805	160710
106	4856	160858
107	4896	160634
108	4937	160455
109	4983	160416
110	5032	160505
111	5074	160360
112	5111	160052
113	5156	159998
114	5203	159992
115	5250	159998
116	5299	160083
117	5343	159984
118	5389	159958
119	5431	159813
120	5468	159525
121	5510	159408
122	5555	159351
123	5607	159489
124	5658	159601
125	5703	159560
126	5752	159610
127	5790	159380
128	5831	159209
129	5875	159130
130	5926	159246
131	5965	159025
132	6008	158930
133	6051	158841
134	6089	158601
135	6133	158513
136	6181	158557
137	6226	158505
138	6261	158200
139	6304	158114
140	6350	158082
141	6391	157952
142	6428	157695
143	6479	157808
144	6528	157854
145	6573	157801
146	6619	157794
147	6670	157893
148	6714	157808
149	6755	157682
150	6803	157703
151	6835	157352
152	6873	157152
153	6922	157191
154	6972	157256
155	7015	157183
156	7069	157340
157	7113	157267
158	7159	157228
159	7203	157173
160	7255	157287
161	7299	157200
162	7342	157130
163	7399	157331
164	7445	157311
165	7503	157520
166	7545	157412
167	7590	157367
168	7642	157471
169	7697	157622
170	7744	157608
171	7783	157432
172	7824	157311
173	7871	157292
174	7913	157181
175	7961	157193
176	8002	157061
177	8045	156971
178	8084	156807
179	8125	156684
180	8171	156664
181	8222	156724
182	8266	156656
183	8313	156651
184	8359	156618
185	8409	156654
186	8448	156497
187	8493	156444
188	8539	156426
189	8588	156440
190	8629	156316
191	8683	156446
192	8730	156426
193	8774	156352
194	8817	156270
195	8859	156175
196	8907	156176
197	8947	156041
198	8995	156040
199	9039	155982
200	9083	155907
201	9127	155837
202	9172	155802
203	9217	155746
204	9263	155716
205	9312	155732
206	9358	155696
207	9405	155685
208	9447	155596
209	9491	155531
210	9541	155561
211	9593	155624
212	9644	155675
213	9694	155693
214	9734	155574
215	9785	155611
